User: admin, Tasks Assigned: 4, Percentage of total tasks: 25.0%, Percentage complete: 100.0%, Percentage Uncomplete: 0.0%, Percentage overdue: 0.0%
User: finlay, Tasks Assigned: 3, Percentage of total tasks: 18.75%, Percentage complete: 33.33%, Percentage Uncomplete: 66.67%, Percentage overdue: 66.67%
User: michael, Tasks Assigned: 1, Percentage of total tasks: 6.25%, Percentage complete: 0.0%, Percentage Uncomplete: 100.0%, Percentage overdue: 100.0%
User: alex, Tasks Assigned: 0, Percentage of total tasks: 0%, Percentage complete: 0%, Percentage Uncomplete: 0%, Percentage overdue: 0%
User: tiw, Tasks Assigned: 3, Percentage of total tasks: 18.75%, Percentage complete: 33.33%, Percentage Uncomplete: 66.67%, Percentage overdue: 33.33%
User: jame, Tasks Assigned: 0, Percentage of total tasks: 0%, Percentage complete: 0%, Percentage Uncomplete: 0%, Percentage overdue: 0%
User: mark, Tasks Assigned: 1, Percentage of total tasks: 6.25%, Percentage complete: 0.0%, Percentage Uncomplete: 100.0%, Percentage overdue: 100.0%
User: peter, Tasks Assigned: 1, Percentage of total tasks: 6.25%, Percentage complete: 0.0%, Percentage Uncomplete: 100.0%, Percentage overdue: 0.0%
User: carl, Tasks Assigned: 0, Percentage of total tasks: 0%, Percentage complete: 0%, Percentage Uncomplete: 0%, Percentage overdue: 0%
User: thomas, Tasks Assigned: 1, Percentage of total tasks: 6.25%, Percentage complete: 0.0%, Percentage Uncomplete: 100.0%, Percentage overdue: 100.0%
User: david, Tasks Assigned: 1, Percentage of total tasks: 6.25%, Percentage complete: 0.0%, Percentage Uncomplete: 100.0%, Percentage overdue: 100.0%
User: johnny, Tasks Assigned: 1, Percentage of total tasks: 6.25%, Percentage complete: 0.0%, Percentage Uncomplete: 100.0%, Percentage overdue: 0.0%
